node_id,lattitude,longitude
1,37.47701122,126.1814482
2,37.6762931,124.126882
3,37.05087517,126.3687445
4,37.60466126,126.6625044
5,36.97908317,124.224818
6,37.46601728,127.4134415
7,37.10649465,123.9410952
8,37.49456601,128.4650886
9,37.60687743,126.2673749
10,37.70104135,124.026723
11,37.7106741,128.0737551
12,37.1033719,125.0849385
13,36.99545207,127.8330521
14,37.67688225,127.6762758
15,37.59846259,126.5454057
16,37.53154802,124.1346263
17,37.0721424,124.4111963
18,37.39079191,127.6384904
19,37.27288327,127.6477312
20,37.27378776,127.4507389
21,37.12878362,127.4375995
22,37.71760448,125.5052238
23,37.58764922,125.9583852
24,37.01224928,128.1230046
25,37.62574179,126.9931111
26,37.32799856,128.2553929
27,37.01827226,124.0966479
28,37.65423218,126.1331564
29,37.43947756,125.0343673
30,37.67400084,125.8382179
31,37.35256219,125.94184
32,37.27823922,124.5600563
33,37.57178396,125.9427442
34,37.10714233,127.5558289
35,37.45784679,128.2041354
36,37.40081464,126.7749442
37,37.64357881,126.8842178
38,37.68691066,125.489623
39,37.45445685,127.6100575
40,37.58163196,127.9273838
41,37.54114572,128.4643912
42,37.60096664,124.9091377
43,37.58708617,124.7894607
44,37.00657026,127.5192485
45,37.30156086,126.5813731
46,37.24438278,127.1847351
47,37.26865173,125.987368
48,37.1891815,126.6174958
49,37.01401347,125.874149
50,37.57790407,125.3311335
51,37.02044676,128.6076523
52,37.73423761,126.4204111
53,37.54706437,126.8273215
54,37.59290412,126.4570968
55,37.5673991,127.4916383
56,37.4842787,126.6573359
57,37.58696568,125.8984179
58,37.35499234,124.7650964
59,37.51320425,126.3017738
60,37.41471704,125.7304203
61,37.28583645,126.5318255
62,37.4101383,127.1743873
63,37.39562786,128.2572792
64,37.49913259,125.1298528
65,37.74894434,127.3265226
66,37.07888041,124.0739349
67,37.04631639,127.1476845
68,37.01598116,127.7517815
69,37.42843256,128.0459535
70,37.58021043,125.0758937
71,37.06008629,126.2332233
72,37.74778538,125.4110904
73,37.63214108,125.9570725
74,37.1880328,128.6196654
75,37.16290262,127.9300771
76,37.74719122,126.6761215
77,37.03006753,127.4199265
78,37.74553291,126.3836101
79,37.17360095,125.537382
80,37.31120048,126.0111758
81,37.17066948,124.3150203
82,37.65155341,126.3830022
83,37.291139,124.3600362
84,37.43078559,123.9923356
85,37.10720286,125.5529123
86,36.99650768,127.4625981
87,37.56944768,124.8655713
88,37.0040119,126.9589127
89,37.46361488,126.549431
90,37.40484798,124.3433008
91,37.3611518,123.9101519
92,37.27253211,127.2060693
93,37.46070251,128.341759
94,37.1011336,127.9585241
95,37.50437962,126.4011279
96,37.12279112,123.973037
97,37.50768718,128.2437812
98,37.63255542,128.6813572
99,37.23129083,125.3014489
100,37.39210806,124.4588682
